Order ID;Customer;Employee;Order Date;Required Date;Shipped Date;Ship Via;Freight;Ship Name;Ship Address;Ship City;Ship Region;Ship Postal Code;Ship Country
10248;Vins et alcools Chevalier;Buchanan, Steven;04-Aug-94;01-Sep-94;16-Aug-94;Federal Shipping;Rp32;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
10249;Toms Spezialitäten;Suyama, Michael;05-Aug-94;16-Sep-94;10-Aug-94;Speedy Express;Rp12;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Germany
10250;Hanari Carnes;Peacock, Margaret;08-Aug-94;05-Sep-94;12-Aug-94;United Package;Rp66;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
10251;Victuailles en stock;Leverling, Janet;08-Aug-94;05-Sep-94;15-Aug-94;Speedy Express;Rp41;Victuailles en stock;2, rue du Commerce;Lyon;;69004;France
10252;Suprêmes délices;Peacock, Margaret;09-Aug-94;06-Sep-94;11-Aug-94;United Package;Rp51;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Belgium
10253;Hanari Carnes;Leverling, Janet;10-Aug-94;24-Aug-94;16-Aug-94;United Package;Rp58;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
10254;Chop-suey Chinese;Buchanan, Steven;11-Aug-94;08-Sep-94;23-Aug-94;United Package;Rp23;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Switzerland
10255;Richter Supermarkt;Dodsworth, Anne;12-Aug-94;09-Sep-94;15-Aug-94;Federal Shipping;Rp148;Richter Supermarkt;Starenweg 5;Genève;;1204;Switzerland
10256;Wellington Importadora;Leverling, Janet;15-Aug-94;12-Sep-94;17-Aug-94;United Package;Rp14;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil
10257;HILARIÓN-Abastos;Peacock, Margaret;16-Aug-94;13-Sep-94;22-Aug-94;Federal Shipping;Rp82;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10258;Ernst Handel;Davolio, Nancy;17-Aug-94;14-Sep-94;23-Aug-94;Speedy Express;Rp141;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10259;Centro comercial Moctezuma;Peacock, Margaret;18-Aug-94;15-Sep-94;25-Aug-94;Federal Shipping;Rp3;Centro comercial Moctezuma;Sierras de Granada 9993;México D.F.;;05022;Mexico
10260;Ottilies Käseladen;Peacock, Margaret;19-Aug-94;16-Sep-94;29-Aug-94;Speedy Express;Rp55;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Germany
10261;Que Delícia;Peacock, Margaret;19-Aug-94;16-Sep-94;30-Aug-94;United Package;Rp3;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10262;Rattlesnake Canyon Grocery;Callahan, Laura;22-Aug-94;19-Sep-94;25-Aug-94;Federal Shipping;Rp48;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10263;Ernst Handel;Dodsworth, Anne;23-Aug-94;20-Sep-94;31-Aug-94;Federal Shipping;Rp146;Ernst Handel;Kirchgasse 6;Graz;;8010;Austria
10264;Folk och fä HB;Suyama, Michael;24-Aug-94;21-Sep-94;23-Sep-94;Federal Shipping;Rp4;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Sweden
10265;Blondel père et fils;Fuller, Andrew;25-Aug-94;22-Sep-94;12-Sep-94;Speedy Express;Rp55;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
10266;Wartian Herkku;Leverling, Janet;26-Aug-94;07-Oct-94;31-Aug-94;Federal Shipping;Rp26;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10267;Frankenversand;Peacock, Margaret;29-Aug-94;26-Sep-94;06-Sep-94;Speedy Express;Rp209;Frankenversand;Berliner Platz 43;München;;80805;Germany
10268;GROSELLA-Restaurante;Callahan, Laura;30-Aug-94;27-Sep-94;02-Sep-94;Federal Shipping;Rp66;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
10269;White Clover Markets;Buchanan, Steven;31-Aug-94;14-Sep-94;09-Sep-94;Speedy Express;Rp5;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
10270;Wartian Herkku;Davolio, Nancy;01-Sep-94;29-Sep-94;02-Sep-94;Speedy Express;Rp137;Wartian Herkku;Torikatu 38;Oulu;;90110;Finland
10271;Split Rail Beer & Ale;Suyama, Michael;01-Sep-94;29-Sep-94;30-Sep-94;United Package;Rp5;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
10272;Rattlesnake Canyon Grocery;Suyama, Michael;02-Sep-94;30-Sep-94;06-Sep-94;United Package;Rp98;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10273;QUICK-Stop;Leverling, Janet;05-Sep-94;03-Oct-94;12-Sep-94;Federal Shipping;Rp76;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10274;Vins et alcools Chevalier;Suyama, Michael;06-Sep-94;04-Oct-94;16-Sep-94;Speedy Express;Rp6;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
10275;Magazzini Alimentari Riuniti;Davolio, Nancy;07-Sep-94;05-Oct-94;09-Sep-94;Speedy Express;Rp27;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy
10276;Tortuga Restaurante;Callahan, Laura;08-Sep-94;22-Sep-94;14-Sep-94;Federal Shipping;Rp14;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10277;Morgenstern Gesundkost;Fuller, Andrew;09-Sep-94;07-Oct-94;13-Sep-94;Federal Shipping;Rp126;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;04179;Germany
10278;Berglunds snabbköp;Callahan, Laura;12-Sep-94;10-Oct-94;16-Sep-94;United Package;Rp93;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
10279;Lehmanns Marktstand;Callahan, Laura;13-Sep-94;11-Oct-94;16-Sep-94;United Package;Rp26;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
10280;Berglunds snabbköp;Fuller, Andrew;14-Sep-94;12-Oct-94;13-Oct-94;Speedy Express;Rp9;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Sweden
10281;Romero y tomillo;Peacock, Margaret;14-Sep-94;28-Sep-94;21-Sep-94;Speedy Express;Rp3;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
10282;Romero y tomillo;Peacock, Margaret;15-Sep-94;13-Oct-94;21-Sep-94;Speedy Express;Rp13;Romero y tomillo;Gran Vía, 1;Madrid;;28001;Spain
10283;LILA-Supermercado;Leverling, Janet;16-Sep-94;14-Oct-94;23-Sep-94;Federal Shipping;Rp85;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10284;Lehmanns Marktstand;Peacock, Margaret;19-Sep-94;17-Oct-94;27-Sep-94;Speedy Express;Rp77;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Germany
10285;QUICK-Stop;Davolio, Nancy;20-Sep-94;18-Oct-94;26-Sep-94;United Package;Rp77;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10286;QUICK-Stop;Callahan, Laura;21-Sep-94;19-Oct-94;30-Sep-94;Federal Shipping;Rp229;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Germany
10287;Ricardo Adocicados;Callahan, Laura;22-Sep-94;20-Oct-94;28-Sep-94;Federal Shipping;Rp13;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
10288;Reggiani Caseifici;Peacock, Margaret;23-Sep-94;21-Oct-94;04-Oct-94;Speedy Express;Rp7;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Italy
10289;B's Beverages;King, Robert;26-Sep-94;24-Oct-94;28-Sep-94;Federal Shipping;Rp23;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;UK
10290;Comércio Mineiro;Callahan, Laura;27-Sep-94;25-Oct-94;04-Oct-94;Speedy Express;Rp80;Comércio Mineiro;Av. dos Lusíadas, 23;São Paulo;SP;05432-043;Brazil
10291;Que Delícia;Suyama, Michael;27-Sep-94;25-Oct-94;05-Oct-94;United Package;Rp6;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
10292;Tradição Hipermercados;Davolio, Nancy;28-Sep-94;26-Oct-94;03-Oct-94;United Package;Rp1;Tradição Hipermercados;Av. Inês de Castro, 414;São Paulo;SP;05634-030;Brazil
10293;Tortuga Restaurante;Davolio, Nancy;29-Sep-94;27-Oct-94;12-Oct-94;Federal Shipping;Rp21;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;Mexico
10294;Rattlesnake Canyon Grocery;Peacock, Margaret;30-Sep-94;28-Oct-94;06-Oct-94;United Package;Rp147;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
10295;Vins et alcools Chevalier;Fuller, Andrew;03-Oct-94;31-Oct-94;11-Oct-94;United Package;Rp1;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;;51100;France
10296;LILA-Supermercado;Suyama, Michael;04-Oct-94;01-Nov-94;12-Oct-94;Speedy Express;Rp0;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10297;Blondel père et fils;Buchanan, Steven;05-Oct-94;16-Nov-94;11-Oct-94;United Package;Rp6;Blondel père et fils;24, place Kléber;Strasbourg;;67000;France
10298;Hungry Owl All-Night Grocers;Suyama, Michael;06-Oct-94;03-Nov-94;12-Oct-94;United Package;Rp168;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Ireland
10299;Ricardo Adocicados;Peacock, Margaret;07-Oct-94;04-Nov-94;14-Oct-94;United Package;Rp30;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
10300;Magazzini Alimentari Riuniti;Fuller, Andrew;10-Oct-94;07-Nov-94;19-Oct-94;United Package;Rp18;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Italy
10301;Die Wandernde Kuh;Callahan, Laura;10-Oct-94;07-Nov-94;18-Oct-94;United Package;Rp45;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Germany
